Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR;;;
24-25;1;Championat de France;Exterieur;Victoire;Charnay;;Starter;J. Bailey;26;30;0,5;30,5;2;8;0,25;1;2;0,50;1;6;0,17;6;7;0,86;;;;;;;;11;1;0;1;2;1;0;0;0;2;5;-3;6;10;J. Bailey;1;10;J. Bailey
24-25;1;Championat de France;Exterieur;Victoire;Charnay;;Starter;E. Naigre;26;14;0,23;14,23;2;8;0,25;0;0;;2;8;0,25;0;0;;;;;;;;;6;0;5;5;2;0;1;0;0;2;1;6;8;13;E. Naigre;2;13;E. Naigre
24-25;1;Championat de France;Exterieur;Victoire;Charnay;;Starter;G. Rabot;21;47;0,78;47,78;2;4;0,50;1;2;0,50;1;2;0,50;2;2;1,00;;;;;;;;7;0;7;7;2;1;1;0;0;1;1;-1;14;26;G. Rabot;3;26;G. Rabot
24-25;1;Championat de France;Exterieur;Victoire;Charnay;;Starter;D. Fankam Mendjiadeu;27;57;0,95;57,95;8;9;0,89;8;9;0,89;0;0;;1;2;0,50;;;;;;;;17;1;6;7;0;5;2;0;0;4;4;-1;19;32;D. Fankam Mendjiadeu;4;32;D. Fankam Mendjiadeu
24-25;1;Championat de France;Exterieur;Victoire;Charnay;Capitaine;Starter;R. Bernies(C);31;60;1;61;3;6;0,50;0;2;0,00;3;4;0,75;0;0;;;;;;;;;9;0;4;4;4;3;2;0;1;2;1;-7;13;47;R. Bernies(C);5;47;R. Bernies(C)
24-25;1;Championat de France;Exterieur;Victoire;Charnay;;Banc;A. Suarez Utrero;22;15;0,25;15,25;5;10;0,50;4;7;0,57;1;3;0,33;3;4;0,75;;;;;;;;14;1;3;4;6;3;2;0;1;2;3;4;17;1;A. Suarez Utrero;7;1;A. Suarez Utrero
24-25;1;Championat de France;Exterieur;Victoire;Charnay;;Banc;H. Limouzin;20;6;0,1;6,1;4;5;0,80;4;5;0,80;0;0;;2;2;1,00;;;;;;;;10;0;0;0;2;1;1;0;1;3;1;13;11;3;H. Limouzin;8;3;H. Limouzin
24-25;1;Championat de France;Exterieur;Victoire;Charnay;;Banc;A. Brun;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;8;A. Brun;9;8;A. Brun
24-25;1;Championat de France;Exterieur;Victoire;Charnay;;Banc;N. Angloma;11;42;0,7;42,7;1;3;0,33;1;3;0,33;0;0;;0;0;;;;;;;;;2;0;0;0;0;1;1;0;0;1;0;2;0;33;N. Angloma;10;33;N. Angloma
24-25;1;Championat de France;Exterieur;Victoire;Charnay;;Banc;M. Milapie;11;28;0,47;28,47;0;1;0,00;0;1;0,00;0;0;;0;0;;;;;;;;;0;0;1;1;1;0;0;1;0;2;2;2;2;77;M. Milapie;11;77;M. Milapie
24-25;1;Championat de France;Exterieur;Victoire;Charnay;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;1;3;4;0;1;0;0;0;0;0;0;0;0;Team / Coach;12;;Team / Coach
24-25;1;Championat de France;Exterieur;Victoire;Charnay;;Banc;TOTAUX EQUIPE;;;;;27;54;0,50;19;31;0,61;8;23;0,35;14;17;0,82;16;32;9;7;26;5;11;76;4;29;33;19;16;10;1;3;19;18;0;93;0;TOTAUX EQUIPE;13;;TOTAUX EQUIPE
24-25;2;Championat de France;Domicile;Victoire;Landerneau;;Starter;J. Bailey;26;28;0,47;28,47;4;7;0,57;2;2;1,00;2;5;0,40;2;2;1,00;;;;;;;;12;0;4;4;4;0;1;0;0;2;1;19;18;10;J. Bailey;1;10;J. Bailey
24-25;2;Championat de France;Domicile;Victoire;Landerneau;;Starter;E. Naigre;23;20;0,33;20,33;3;9;0,33;1;4;0,25;2;5;0,40;0;0;;;;;;;;;8;0;2;2;3;2;1;0;0;1;0;15;6;13;E. Naigre;2;13;E. Naigre
24-25;2;Championat de France;Domicile;Victoire;Landerneau;;Starter;G. Rabot;22;26;0,43;26,43;4;9;0,44;2;4;0,50;2;5;0,40;3;4;0,75;;;;;;;;13;1;5;6;2;1;1;0;0;3;2;12;15;26;G. Rabot;3;26;G. Rabot
24-25;2;Championat de France;Domicile;Victoire;Landerneau;;Starter;D. Fankam Mendjiadeu;25;7;0,12;7,12;6;10;0,60;6;10;0,60;0;0;;1;4;0,25;;;;;;;;13;6;4;10;2;1;2;0;2;3;3;24;19;32;D. Fankam Mendjiadeu;4;32;D. Fankam Mendjiadeu
24-25;2;Championat de France;Domicile;Victoire;Landerneau;Capitaine;Starter;R. Bernies(C);20;59;0,98;59,98;2;5;0,40;1;2;0,50;1;3;0,33;0;0;;;;;;;;;5;2;2;4;1;2;0;0;0;1;1;-5;5;47;R. Bernies(C);5;47;R. Bernies(C)
24-25;2;Championat de France;Domicile;Victoire;Landerneau;;Banc;A. Suarez Utrero;27;11;0,18;11,18;3;9;0,33;1;4;0,25;2;5;0,40;2;2;1,00;;;;;;;;10;0;2;2;5;4;0;0;0;0;1;1;7;1;A. Suarez Utrero;7;1;A. Suarez Utrero
24-25;2;Championat de France;Domicile;Victoire;Landerneau;;Banc;H. Limouzin;27;37;0,62;37,62;4;9;0,44;2;6;0,33;2;3;0,67;1;2;0,50;;;;;;;;11;4;0;4;6;0;2;0;1;1;4;25;17;3;H. Limouzin;8;3;H. Limouzin
24-25;2;Championat de France;Domicile;Victoire;Landerneau;;Banc;A. Brun;1;6;0,1;6,1;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;2;0;8;A. Brun;9;8;A. Brun
24-25;2;Championat de France;Domicile;Victoire;Landerneau;;Banc;N. Angloma;9;5;0,08;5,08;1;3;0,33;1;3;0,33;0;0;;0;0;;;;;;;;;2;1;2;3;1;0;1;0;1;1;0;-7;5;33;N. Angloma;10;33;N. Angloma
24-25;2;Championat de France;Domicile;Victoire;Landerneau;;Banc;M. Milapie;16;20;0,33;20,33;0;1;0,00;0;1;0,00;0;0;;1;2;0,50;;;;;;;;1;1;3;4;1;1;0;0;0;5;4;-6;3;77;M. Milapie;11;77;M. Milapie
24-25;2;Championat de France;Domicile;Victoire;Landerneau;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;0;2;2;0;2;0;0;0;0;0;0;0;0;Team / Coach;12;;Team / Coach
24-25;2;Championat de France;Domicile;Victoire;Landerneau;;Banc;TOTAUX EQUIPE;;;;;27;62;0,44;16;36;0,44;11;26;0,42;10;16;0,63;19;32;9;9;24;20;19;75;15;26;41;25;13;8;0;4;17;16;0;95;0;TOTAUX EQUIPE;13;;TOTAUX EQUIPE
24-25;3;Championat de France;Exterieur;Victoire;Lyon Asvel Féminin;;Starter;A. Suarez Utrero;24;22;0,37;22,37;1;7;0,14;1;4;0,25;0;3;0,00;1;1;1,00;;;;;;;;3;1;2;3;6;3;0;0;0;3;0;17;3;1;A. Suarez Utrero;1;1;A. Suarez Utrero
24-25;3;Championat de France;Exterieur;Victoire;Lyon Asvel Féminin;;Starter;J. Bailey;30;17;0,28;17,28;5;8;0,63;3;4;0,75;2;4;0,50;0;1;0,00;;;;;;;;12;0;4;4;4;1;4;0;0;3;3;16;19;10;J. Bailey;2;10;J. Bailey
24-25;3;Championat de France;Exterieur;Victoire;Lyon Asvel Féminin;;Starter;E. Naigre;31;18;0,3;18,3;6;11;0,55;1;3;0,33;5;8;0,63;3;3;1,00;;;;;;;;20;0;5;5;3;3;0;0;0;2;2;12;20;13;E. Naigre;3;13;E. Naigre
24-25;3;Championat de France;Exterieur;Victoire;Lyon Asvel Féminin;Capitaine;Starter;R. Bernies(C);31;14;0,23;14,23;4;6;0,67;2;2;1,00;2;4;0,50;2;2;1,00;;;;;;;;12;0;2;2;4;2;4;1;0;1;1;23;19;47;R. Bernies(C);4;47;R. Bernies(C)
24-25;3;Championat de France;Exterieur;Victoire;Lyon Asvel Féminin;;Starter;M. Milapie;20;22;0,37;22,37;3;8;0,38;3;7;0,43;0;1;0,00;0;0;;;;;;;;;6;2;2;4;2;1;0;0;2;3;0;6;6;77;M. Milapie;5;77;M. Milapie
24-25;3;Championat de France;Exterieur;Victoire;Lyon Asvel Féminin;;Banc;H. Limouzin;21;48;0,8;48,8;2;5;0,40;2;5;0,40;0;0;;2;2;1,00;;;;;;;;6;1;0;1;1;1;3;0;1;0;4;0;7;3;H. Limouzin;7;3;H. Limouzin
24-25;3;Championat de France;Exterieur;Victoire;Lyon Asvel Féminin;;Banc;A. Brun;2;0;0;0;0;1;0,00;0;1;0,00;0;0;;2;2;1,00;;;;;;;;2;0;0;0;0;0;0;0;1;0;1;2;1;8;A. Brun;8;8;A. Brun
24-25;3;Championat de France;Exterieur;Victoire;Lyon Asvel Féminin;;Banc;D. Fankam Mendjiadeu;26;11;0,18;11,18;6;9;0,67;6;9;0,67;0;0;;2;4;0,50;;;;;;;;14;2;6;8;1;1;3;0;0;1;2;19;20;32;D. Fankam Mendjiadeu;9;32;D. Fankam Mendjiadeu
24-25;3;Championat de France;Exterieur;Victoire;Lyon Asvel Féminin;;Banc;N. Angloma;12;28;0,47;28,47;4;6;0,67;4;6;0,67;0;0;;2;2;1,00;;;;;;;;10;0;0;0;0;0;0;0;0;4;1;0;8;33;N. Angloma;10;33;N. Angloma
24-25;3;Championat de France;Exterieur;Victoire;Lyon Asvel Féminin;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;2;2;4;0;1;0;0;0;0;0;0;0;0;Team / Coach;11;;Team / Coach
24-25;3;Championat de France;Exterieur;Victoire;Lyon Asvel Féminin;;Banc;TOTAUX EQUIPE;;;;;31;61;0,51;22;41;0,54;9;20;0,45;14;17;0,82;23;30;10;10;32;21;10;85;8;23;31;21;13;14;1;4;17;14;0;106;0;TOTAUX EQUIPE;12;;TOTAUX EQUIPE
24-25;4;Championat de France;Domicile;Defaite;Angers;;Starter;H. Limouzin;29;15;0,25;15,25;2;6;0,33;2;5;0,40;0;1;0,00;1;2;0,50;;;;;;;;5;1;2;3;7;3;4;0;0;2;1;3;11;3;H. Limouzin;1;3;H. Limouzin
24-25;4;Championat de France;Domicile;Defaite;Angers;;Starter;J. Bailey;29;50;0,83;50,83;5;10;0,50;5;6;0,83;0;4;0,00;0;0;;;;;;;;;10;1;2;3;0;2;2;0;0;2;2;-8;8;10;J. Bailey;2;10;J. Bailey
24-25;4;Championat de France;Domicile;Defaite;Angers;;Starter;E. Naigre;27;60;1;61;2;6;0,33;1;3;0,33;1;3;0,33;2;2;1,00;;;;;;;;7;1;3;4;2;2;1;0;0;3;2;-5;8;13;E. Naigre;3;13;E. Naigre
24-25;4;Championat de France;Domicile;Defaite;Angers;;Starter;D. Fankam Mendjiadeu;25;7;0,12;7,12;5;10;0,50;5;10;0,50;0;0;;4;4;1,00;;;;;;;;14;0;3;3;1;1;5;0;0;2;3;2;17;32;D. Fankam Mendjiadeu;4;32;D. Fankam Mendjiadeu
24-25;4;Championat de France;Domicile;Defaite;Angers;Capitaine;Starter;R. Bernies(C);23;46;0,77;46,77;3;8;0,38;2;3;0,67;1;5;0,20;0;0;;;;;;;;;7;0;0;0;1;4;3;0;0;4;0;-7;2;47;R. Bernies(C);5;47;R. Bernies(C)
24-25;4;Championat de France;Domicile;Defaite;Angers;;Banc;A. Suarez Utrero;27;53;0,88;53,88;4;10;0,40;3;6;0,50;1;4;0,25;0;0;;;;;;;;;9;0;1;1;8;2;0;0;0;0;0;7;10;1;A. Suarez Utrero;7;1;A. Suarez Utrero
24-25;4;Championat de France;Domicile;Defaite;Angers;;Banc;A. Brun;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;8;A. Brun;8;8;A. Brun
24-25;4;Championat de France;Domicile;Defaite;Angers;;Banc;T. Kavoka;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;11;T. Kavoka;9;11;T. Kavoka
24-25;4;Championat de France;Domicile;Defaite;Angers;;Banc;A. Keita;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;31;A. Keita;10;31;A. Keita
24-25;4;Championat de France;Domicile;Defaite;Angers;;Banc;N. Angloma;16;35;0,58;35,58;2;5;0,40;2;5;0,40;0;0;;0;0;;;;;;;;;4;1;4;5;1;2;0;0;0;2;0;3;5;33;N. Angloma;11;33;N. Angloma
24-25;4;Championat de France;Domicile;Defaite;Angers;;Banc;M. Milapie;19;35;0,58;35,58;2;3;0,67;2;3;0,67;0;0;;7;7;1,00;;;;;;;;11;5;3;8;1;0;1;0;0;2;6;0;20;77;M. Milapie;12;77;M. Milapie
24-25;4;Championat de France;Domicile;Defaite;Angers;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;2;0;0;0;0;0;1;0;0;0;0;Team / Coach;13;;Team / Coach
24-25;4;Championat de France;Domicile;Defaite;Angers;;Banc;TOTAUX EQUIPE;;;;;25;58;0,43;22;41;0,54;3;17;0,18;14;15;0,93;18;38;11;13;24;9;12;67;10;19;29;21;16;16;0;0;18;14;0;83;0;TOTAUX EQUIPE;14;;TOTAUX EQUIPE
24-25;5;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Starter;A. Suarez Utrero;26;51;0,85;51,85;4;5;0,80;1;1;1,00;3;4;0,75;6;6;1,00;;;;;;;;17;0;4;4;7;3;0;0;0;2;5;-10;24;1;A. Suarez Utrero;1;1;A. Suarez Utrero
24-25;5;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Starter;E. Naigre;23;22;0,37;22,37;3;10;0,30;2;3;0,67;1;7;0,14;4;4;1,00;;;;;;;;11;1;5;6;0;3;2;0;0;1;2;-16;9;13;E. Naigre;2;13;E. Naigre
24-25;5;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Starter;G. Rabot;27;41;0,68;41,68;3;9;0,33;3;6;0,50;0;3;0,00;1;2;0,50;;;;;;;;7;2;2;4;1;3;1;0;0;4;1;2;3;26;G. Rabot;3;26;G. Rabot
24-25;5;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Starter;D. Fankam Mendjiadeu;28;55;0,92;55,92;3;7;0,43;3;7;0,43;0;0;;0;0;;;;;;;;;6;4;2;6;2;3;0;1;1;2;3;13;8;32;D. Fankam Mendjiadeu;4;32;D. Fankam Mendjiadeu
24-25;5;Championat de France;Exterieur;Defaite;Charleville-Mézières;Capitaine;Starter;R. Bernies(C);23;22;0,37;22,37;2;5;0,40;2;3;0,67;0;2;0,00;0;0;;;;;;;;;4;1;0;1;1;2;1;0;0;3;0;-12;2;47;R. Bernies(C);5;47;R. Bernies(C)
24-25;5;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Banc;H. Limouzin;23;22;0,37;22,37;3;9;0,33;3;8;0,38;0;1;0,00;2;3;0,67;;;;;;;;8;1;1;2;6;2;3;0;0;3;3;10;10;3;H. Limouzin;7;3;H. Limouzin
24-25;5;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Banc;A. Tagayi;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;8;A. Tagayi;8;8;A. Tagayi
24-25;5;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Banc;J. Bailey;21;2;0,03;2,03;1;7;0,14;0;2;0,00;1;5;0,20;2;2;1,00;;;;;;;;5;1;4;5;0;1;0;0;1;3;1;5;3;10;J. Bailey;9;10;J. Bailey
24-25;5;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Banc;N. Angloma;15;25;0,42;25,42;3;5;0,60;3;5;0,60;0;0;;2;4;0,50;;;;;;;;8;5;0;5;1;1;1;0;1;3;3;5;10;33;N. Angloma;10;33;N. Angloma
24-25;5;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Banc;M. Milapie;10;0;0;0;2;3;0,67;2;3;0,67;0;0;;1;2;0,50;;;;;;;;5;0;0;0;0;3;1;0;0;4;2;-17;1;77;M. Milapie;11;77;M. Milapie
24-25;5;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;4;3;7;0;1;0;0;0;0;0;0;0;0;Team / Coach;12;;Team / Coach
24-25;5;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Banc;TOTAUX EQUIPE;;;;;24;60;0,40;19;38;0,50;5;22;0,23;18;23;0,78;17;30;12;13;26;6;7;71;19;21;40;18;22;9;1;3;25;20;0;76;0;TOTAUX EQUIPE;13;;TOTAUX EQUIPE
24-25;6;Championat de France;Domicile;Defaite;Bourges;;Starter;A. Suarez Utrero;25;47;0,78;47,78;5;6;0,83;5;6;0,83;0;0;;3;3;1,00;;;;;;;;13;1;1;2;2;6;0;0;0;1;2;-14;10;1;A. Suarez Utrero;1;1;A. Suarez Utrero
24-25;6;Championat de France;Domicile;Defaite;Bourges;;Starter;G. Rabot;26;51;0,85;51,85;1;5;0,20;0;3;0,00;1;2;0,50;2;2;1,00;;;;;;;;5;2;7;9;4;1;0;0;1;3;1;-8;13;26;G. Rabot;2;26;G. Rabot
24-25;6;Championat de France;Domicile;Defaite;Bourges;;Starter;N. Angloma;11;13;0,22;13,22;2;3;0,67;2;3;0,67;0;0;;0;0;;;;;;;;;4;1;1;2;0;0;1;0;0;0;0;4;6;33;N. Angloma;3;33;N. Angloma
24-25;6;Championat de France;Domicile;Defaite;Bourges;Capitaine;Starter;R. Bernies(C);31;59;0,98;59,98;5;12;0,42;3;3;1,00;2;9;0,22;1;2;0,50;;;;;;;;13;0;1;1;6;1;2;0;0;1;2;-11;13;47;R. Bernies(C);4;47;R. Bernies(C)
24-25;6;Championat de France;Domicile;Defaite;Bourges;;Starter;M. Milapie;12;27;0,45;27,45;2;3;0,67;2;3;0,67;0;0;;0;0;;;;;;;;;4;2;1;3;1;0;0;0;0;2;0;5;7;77;M. Milapie;5;77;M. Milapie
24-25;6;Championat de France;Domicile;Defaite;Bourges;;Banc;H. Limouzin;12;40;0,67;40,67;3;6;0,50;3;6;0,50;0;0;;1;1;1,00;;;;;;;;7;0;1;1;2;2;0;0;1;1;3;0;5;3;H. Limouzin;7;3;H. Limouzin
24-25;6;Championat de France;Domicile;Defaite;Bourges;;Banc;A. Brun;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;8;A. Brun;8;8;A. Brun
24-25;6;Championat de France;Domicile;Defaite;Bourges;;Banc;J. Bailey;24;39;0,65;39,65;3;7;0,43;3;5;0,60;0;2;0,00;4;5;0,80;;;;;;;;10;2;1;3;0;3;1;0;0;3;5;-3;6;10;J. Bailey;9;10;J. Bailey
24-25;6;Championat de France;Domicile;Defaite;Bourges;;Banc;E. Naigre;28;48;0,8;48,8;3;6;0,50;1;2;0,50;2;4;0,50;0;0;;;;;;;;;8;0;0;0;4;0;0;0;1;0;2;-15;9;13;E. Naigre;10;13;E. Naigre
24-25;6;Championat de France;Domicile;Defaite;Bourges;;Banc;A. Keita;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;31;A. Keita;11;31;A. Keita
24-25;6;Championat de France;Domicile;Defaite;Bourges;;Banc;D. Fankam Mendjiadeu;25;37;0,62;37,62;5;9;0,56;5;9;0,56;0;0;;1;1;1,00;;;;;;;;11;2;6;8;4;2;0;2;3;2;3;-13;19;32;D. Fankam Mendjiadeu;12;32;D. Fankam Mendjiadeu
24-25;6;Championat de France;Domicile;Defaite;Bourges;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;2;2;4;0;4;0;0;0;0;0;0;0;0;Team / Coach;13;;Team / Coach
24-25;6;Championat de France;Domicile;Defaite;Bourges;;Banc;TOTAUX EQUIPE;;;;;29;57;0,51;24;40;0,60;5;17;0,29;12;14;0,86;12;44;4;13;36;13;7;75;12;21;33;23;19;4;2;6;13;18;0;88;0;TOTAUX EQUIPE;14;;TOTAUX EQUIPE
24-25;7;Championat de France;Exterieur;Victoire;Tarbes;;Starter;J. Bailey;28;12;0,2;12,2;3;6;0,50;2;2;1,00;1;4;0,25;2;3;0,67;;;;;;;;9;1;3;4;1;1;3;0;0;0;5;23;12;10;J. Bailey;1;10;J. Bailey
24-25;7;Championat de France;Exterieur;Victoire;Tarbes;;Starter;E. Naigre;33;18;0,3;18,3;3;10;0,30;2;5;0,40;1;5;0,20;0;0;;;;;;;;;7;1;2;3;4;4;0;0;0;3;0;10;3;13;E. Naigre;2;13;E. Naigre
24-25;7;Championat de France;Exterieur;Victoire;Tarbes;;Starter;G. Rabot;31;35;0,58;35,58;5;14;0,36;5;12;0,42;0;2;0,00;1;1;1,00;;;;;;;;11;0;7;7;6;7;0;0;3;3;2;13;8;26;G. Rabot;3;26;G. Rabot
24-25;7;Championat de France;Exterieur;Victoire;Tarbes;;Starter;D. Fankam Mendjiadeu;32;11;0,18;11,18;9;11;0,82;9;11;0,82;0;0;;5;5;1,00;;;;;;;;23;6;6;12;0;1;0;0;0;2;4;22;32;32;D. Fankam Mendjiadeu;4;32;D. Fankam Mendjiadeu
24-25;7;Championat de France;Exterieur;Victoire;Tarbes;Capitaine;Starter;R. Bernies(C);30;56;0,93;56,93;5;9;0,56;1;2;0,50;4;7;0,57;0;0;;;;;;;;;14;0;1;1;7;1;1;0;0;1;1;24;18;47;R. Bernies(C);5;47;R. Bernies(C)
24-25;7;Championat de France;Exterieur;Victoire;Tarbes;;Banc;A. Suarez Utrero;11;40;0,67;40,67;2;4;0,50;1;2;0,50;1;2;0,50;2;2;1,00;;;;;;;;7;0;1;1;0;2;0;0;0;0;2;-11;4;1;A. Suarez Utrero;7;1;A. Suarez Utrero
24-25;7;Championat de France;Exterieur;Victoire;Tarbes;;Banc;H. Limouzin;11;46;0,77;46,77;0;5;0,00;0;5;0,00;0;0;;0;0;;;;;;;;;0;0;1;1;2;1;0;0;1;3;0;-16;-3;3;H. Limouzin;8;3;H. Limouzin
24-25;7;Championat de France;Exterieur;Victoire;Tarbes;;Banc;A. Brun;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;8;A. Brun;9;8;A. Brun
24-25;7;Championat de France;Exterieur;Victoire;Tarbes;;Banc;N. Angloma;10;9;0,15;9,15;0;2;0,00;0;2;0,00;0;0;;0;0;;;;;;;;;0;2;3;5;1;0;0;0;0;1;0;-2;4;33;N. Angloma;10;33;N. Angloma
24-25;7;Championat de France;Exterieur;Victoire;Tarbes;;Banc;M. Milapie;10;13;0,22;13,22;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;1;2;3;0;0;1;0;0;1;0;-13;4;77;M. Milapie;11;77;M. Milapie
24-25;7;Championat de France;Exterieur;Victoire;Tarbes;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;4;0;4;0;1;0;0;0;0;0;0;0;0;Team / Coach;12;;Team / Coach
24-25;7;Championat de France;Exterieur;Victoire;Tarbes;;Banc;TOTAUX EQUIPE;;;;;27;61;0,44;20;41;0,49;7;20;0,35;10;11;0,91;25;36;11;5;7;14;13;71;15;26;41;21;18;5;0;4;14;14;0;85;0;TOTAUX EQUIPE;13;;TOTAUX EQUIPE
24-25;8;Championat de France;Domicile;Victoire;Basket Landes;;Starter;J. Bailey;24;41;0,68;41,68;2;7;0,29;1;2;0,50;1;5;0,20;2;2;1,00;;;;;;;;7;2;5;7;2;2;3;0;1;2;2;3;12;10;J. Bailey;1;10;J. Bailey
24-25;8;Championat de France;Domicile;Victoire;Basket Landes;;Starter;E. Naigre;24;3;0,05;3,05;1;5;0,20;0;1;0,00;1;4;0,25;2;2;1,00;;;;;;;;5;0;2;2;1;1;0;0;0;4;2;12;3;13;E. Naigre;2;13;E. Naigre
24-25;8;Championat de France;Domicile;Victoire;Basket Landes;;Starter;G. Rabot;34;30;0,5;30,5;3;11;0,27;3;9;0,33;0;2;0,00;2;4;0,50;;;;;;;;8;3;14;17;3;3;2;1;2;2;3;9;18;26;G. Rabot;3;26;G. Rabot
24-25;8;Championat de France;Domicile;Victoire;Basket Landes;;Starter;D. Fankam Mendjiadeu;22;30;0,5;30,5;2;9;0,22;2;9;0,22;0;0;;3;3;1,00;;;;;;;;7;2;4;6;1;3;2;0;1;2;3;6;6;32;D. Fankam Mendjiadeu;4;32;D. Fankam Mendjiadeu
24-25;8;Championat de France;Domicile;Victoire;Basket Landes;Capitaine;Starter;R. Bernies(C);29;47;0,78;47,78;3;8;0,38;1;4;0,25;2;4;0,50;4;4;1,00;;;;;;;;12;0;3;3;5;2;0;0;0;1;3;8;13;47;R. Bernies(C);5;47;R. Bernies(C)
24-25;8;Championat de France;Domicile;Victoire;Basket Landes;;Banc;A. Suarez Utrero;13;2;0,03;2,03;0;1;0,00;0;0;;0;1;0,00;0;0;;;;;;;;;0;1;1;2;0;1;0;0;0;2;3;-2;0;1;A. Suarez Utrero;7;1;A. Suarez Utrero
24-25;8;Championat de France;Domicile;Victoire;Basket Landes;;Banc;H. Limouzin;17;8;0,13;8,13;1;4;0,25;1;3;0,33;0;1;0,00;0;0;;;;;;;;;2;0;0;0;2;1;1;0;1;2;0;14;1;3;H. Limouzin;8;3;H. Limouzin
24-25;8;Championat de France;Domicile;Victoire;Basket Landes;;Banc;A. Tagayi;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;5;A. Tagayi;9;5;A. Tagayi
24-25;8;Championat de France;Domicile;Victoire;Basket Landes;;Banc;N. Angloma;15;20;0,33;20,33;2;8;0,25;2;6;0,33;0;2;0,00;1;1;1,00;;;;;;;;5;0;1;1;0;0;1;0;0;2;1;9;1;33;N. Angloma;10;33;N. Angloma
24-25;8;Championat de France;Domicile;Victoire;Basket Landes;;Banc;M. Milapie;18;58;0,97;58,97;3;8;0,38;3;8;0,38;0;0;;0;0;;;;;;;;;6;0;5;5;0;0;0;0;1;1;2;6;6;77;M. Milapie;11;77;M. Milapie
24-25;8;Championat de France;Domicile;Victoire;Basket Landes;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;3;1;4;0;3;0;0;0;0;0;0;0;0;Team / Coach;12;;Team / Coach
24-25;8;Championat de France;Domicile;Victoire;Basket Landes;;Banc;TOTAUX EQUIPE;;;;;17;61;0,28;13;42;0,31;4;19;0,21;14;16;0,88;12;20;5;6;13;21;11;52;11;36;47;14;16;9;1;6;18;19;0;61;0;TOTAUX EQUIPE;13;;TOTAUX EQUIPE
24-25;9;Championat de France;Exterieur;Victoire;Chartres;;Starter;J. Bailey;17;41;0,68;41,68;0;2;0,00;0;0;;0;2;0,00;0;0;;;;;;;;;0;0;0;0;1;0;0;1;0;2;0;-4;0;10;J. Bailey;1;10;J. Bailey
24-25;9;Championat de France;Exterieur;Victoire;Chartres;;Starter;E. Naigre;33;11;0,18;11,18;4;10;0,40;2;2;1,00;2;8;0,25;4;5;0,80;;;;;;;;14;0;3;3;2;3;3;0;0;3;3;-4;12;13;E. Naigre;2;13;E. Naigre
